County,Year,Total,Total_Males,Total_Female,White_Male,White_Female,Black_Male,Black_Female,Native_Amer_Male,Native_Amer_Female,Hispanic_Male,Hispanic_Female,Asian_Pacific_Male,Asian_Pacific_Female
Accomack County,2010,33148,16152,16996,11341,11496,4340,5049,105,92,1551,1270,115,130
Accomack County,2011,33225,16225,17000,11348,11478,4390,5071,114,96,1636,1303,110,116
Accomack County,2012,33268,16275,16993,11321,11463,4481,5073,109,96,1622,1295,113,128
Accomack County,2013,32969,16092,16877,11171,11390,4431,5010,109,98,1583,1301,122,132
Accomack County,2014,32971,16076,16895,11114,11409,4428,4989,108,96,1545,1304,141,149
Accomack County,2015,32914,16021,16893,11044,11392,4422,4976,108,96,1567,1328,146,158
Accomack County,2016,32871,15992,16879,11010,11372,4430,4978,109,99,1569,1333,141,164
Accomack County,2017,32685,15920,16765,10900,11309,4460,4925,112,100,1579,1347,137,173
Accomack County,2018,32581,15893,16688,10881,11276,4441,4877,120,106,1624,1346,138,174
Accomack County,2019,32316,15728,16588,10703,11196,4455,4849,128,111,1605,1350,134,177
Albemarle County,2010,99204,47712,51492,39517,42566,4694,5096,198,183,2912,2504,2272,2504
Albemarle County,2011,100213,48047,52166,39804,43061,4726,5167,208,192,2958,2624,2258,2518
Albemarle County,2012,101464,48561,52903,40227,43570,4732,5207,187,196,2963,2684,2331,2660
Albemarle County,2013,102270,48911,53359,40571,44028,4711,5206,200,190,2934,2742,2292,2658
Albemarle County,2014,103732,49634,54098,40986,44463,4834,5299,202,201,2949,2857,2421,2801
Albemarle County,2015,105117,50387,54730,41497,45009,4879,5293,216,206,3052,2946,2537,2883
Albemarle County,2016,106431,50926,55505,41829,45511,4993,5453,231,200,3114,3010,2605,2950
Albemarle County,2017,107768,51482,56286,42223,46035,4982,5499,215,212,3129,3130,2747,3080
Albemarle County,2018,108377,51811,56566,42429,46256,4996,5531,212,201,3162,3144,2848,3130
Albemarle County,2019,109330,52319,57011,42775,46613,5043,5557,189,194,3173,3140,2966,3185
