,Zip Code,County
7,20108,Manassas city
9,20110,Manassas city
12,20113,Manassas Park city
89,22030,Fairfax city
97,22038,Fairfax city
99,22040,Falls Church city
104,22046,Falls Church city
188,22301,Alexandria city
189,22302,Alexandria city
191,22304,Alexandria city
192,22305,Alexandria city
198,22311,Alexandria city
200,22313,Alexandria city
201,22314,Alexandria city
203,22320,Alexandria city
205,22331,Alexandria city
206,22332,Alexandria city
207,22333,Alexandria city
208,22334,Alexandria city
209,22336,Alexandria city
210,22401,Fredericksburg city
211,22402,Fredericksburg city
213,22404,Fredericksburg city
291,22601,Winchester city
294,22604,Winchester city
363,22801,Harrisonburg city
364,22802,Harrisonburg city
365,22803,Harrisonburg city
366,22807,Harrisonburg city
395,22902,Charlottesville city
396,22903,Charlottesville city
397,22904,Charlottesville city
398,22905,Charlottesville city
399,22906,Charlottesville city
400,22907,Charlottesville city
401,22908,Charlottesville city
403,22910,Charlottesville city
440,22980,Waynesboro city
459,23030,Charles city
490,23081,James city
522,23127,James city
532,23147,Charles city
544,23168,James city
547,23173,Richmond city
556,23185,James city
557,23186,Williamsburg city
558,23187,Williamsburg city
559,23188,James city
562,23218,Richmond city
563,23219,Richmond city
564,23220,Richmond city
565,23221,Richmond city
566,23222,Richmond city
567,23223,Richmond city
568,23224,Richmond city
569,23225,Richmond city
576,23232,Richmond city
583,23240,Richmond city
584,23241,Richmond city
586,23249,Richmond city
589,23260,Richmond city
590,23261,Richmond city
591,23269,Richmond city
592,23273,Richmond city
593,23274,Richmond city
594,23276,Richmond city
595,23278,Richmond city
596,23279,Richmond city
597,23282,Richmond city
598,23284,Richmond city
599,23285,Richmond city
600,23286,Richmond city
602,23289,Richmond city
603,23290,Richmond city
604,23291,Richmond city
605,23292,Richmond city
606,23293,Richmond city
608,23295,Richmond city
610,23298,Richmond city
623,23320,Chesapeake city
624,23321,Chesapeake city
625,23322,Chesapeake city
626,23323,Chesapeake city
627,23324,Chesapeake city
628,23325,Chesapeake city
629,23326,Chesapeake city
630,23327,Chesapeake city
631,23328,Chesapeake city
674,23432,Suffolk city
675,23433,Suffolk city
676,23434,Suffolk city
677,23435,Suffolk city
678,23436,Suffolk city
679,23437,Suffolk city
680,23438,Suffolk city
681,23439,Suffolk city
686,23450,Virginia Beach city
687,23451,Virginia Beach city
688,23452,Virginia Beach city
689,23453,Virginia Beach city
690,23454,Virginia Beach city
691,23455,Virginia Beach city
692,23456,Virginia Beach city
693,23457,Virginia Beach city
694,23458,Virginia Beach city
695,23459,Virginia Beach city
696,23460,Virginia Beach city
697,23461,Virginia Beach city
698,23462,Virginia Beach city
699,23463,Virginia Beach city
700,23464,Virginia Beach city
701,23465,Virginia Beach city
702,23466,Virginia Beach city
703,23467,Virginia Beach city
704,23471,Virginia Beach city
705,23479,Virginia Beach city
712,23501,Norfolk city
713,23502,Norfolk city
714,23503,Norfolk city
715,23504,Norfolk city
716,23505,Norfolk city
717,23506,Norfolk city
718,23507,Norfolk city
719,23508,Norfolk city
720,23509,Norfolk city
721,23510,Norfolk city
722,23511,Norfolk city
723,23512,Norfolk city
724,23513,Norfolk city
725,23514,Norfolk city
726,23515,Norfolk city
