Zip Code,County,city
20101,Loudoun,Dulles
20102,Loudoun,Dulles
20103,Loudoun,Dulles
20104,Loudoun,Dulles
20105,Loudoun,Aldie
20106,Culpeper,Amissville
20107,Loudoun,Arcola
20108,Manassas city,Manassas
20109,Prince William,Manassas
20110,Manassas city,Manassas
20111,Prince William,Manassas
20112,Prince William,Manassas
20113,Manassas Park city,Manassas
20115,Fauquier,Marshall
20116,Fauquier,Marshall
20117,Loudoun,Middleburg
20118,Loudoun,Middleburg
20119,Fauquier,Catlett
20120,Fairfax,Centreville
20121,Fairfax,Centreville
20122,Fairfax,Centreville
20124,Fairfax,Clifton
20128,Fauquier,Orlean
20129,Loudoun,Paeonian Springs
20130,Clarke,Paris
20131,Loudoun,Philomont
20132,Loudoun,Purcellville
20134,Loudoun,Purcellville
20135,Clarke,Bluemont
20136,Prince William,Bristow
20137,Fauquier,Broad Run
20138,Fauquier,Calverton
20139,Fauquier,Casanova
20140,Fauquier,Rectortown
20141,Loudoun,Round Hill
20142,Loudoun,Round Hill
20143,Prince William,Catharpin
20144,Fauquier,Delaplane
20146,Loudoun,Ashburn
20147,Loudoun,Ashburn
20148,Loudoun,Ashburn
20149,Loudoun,Ashburn
20151,Fairfax,Chantilly
20152,Loudoun,Chantilly
20153,Fairfax,Chantilly
20155,Prince William,Gainesville
20156,Prince William,Gainesville
20158,Loudoun,Hamilton
20159,Loudoun,Hamilton
20160,Loudoun,Lincoln
20163,Loudoun,Sterling
20164,Loudoun,Sterling
20165,Loudoun,Sterling
20166,Loudoun,Sterling
20167,Loudoun,Sterling
20168,Prince William,Haymarket
20169,Prince William,Haymarket
20170,Fairfax,Herndon
20171,Fairfax,Herndon
20172,Fairfax,Herndon
20175,Loudoun,Leesburg
20176,Loudoun,Leesburg
20177,Loudoun,Leesburg
20178,Loudoun,Leesburg
20180,Loudoun,Lovettsville
20181,Prince William,Nokesville
20182,Prince William,Nokesville
20184,Fauquier,Upperville
20185,Fauquier,Upperville
20186,Fauquier,Warrenton
20187,Fauquier,Warrenton
20188,Fauquier,Warrenton
20189,Loudoun,Dulles
20190,Fairfax,Reston
20191,Fairfax,Reston
20192,Fairfax,Herndon
20193,Fairfax,Reston
20194,Fairfax,Reston
20195,Fairfax,Reston
20196,Fairfax,Reston
20197,Loudoun,Waterford
20198,Fauquier,The Plains
20199,Loudoun,Dulles
22003,Fairfax,Annandale
22009,Fairfax,Burke
22015,Fairfax,Burke
22025,Prince William,Dumfries
22026,Prince William,Dumfries
22027,Fairfax,Dunn Loring
22030,Fairfax city,Fairfax
22031,Fairfax,Fairfax
22032,Fairfax,Fairfax
22033,Fairfax,Fairfax
22034,Fairfax,Fairfax
22035,Fairfax,Fairfax
22036,Fairfax,Fairfax
22037,Fairfax,Fairfax
22038,Fairfax city,Fairfax
22039,Fairfax,Fairfax Station
22040,Falls Church city,Falls Church
22041,Fairfax,Falls Church
22042,Fairfax,Falls Church
22043,Fairfax,Falls Church
22044,Fairfax,Falls Church
22046,Falls Church city,Falls Church
22047,Fairfax,Falls Church
22060,Fairfax,Fort Belvoir
22066,Fairfax,Great Falls
22067,Fairfax,Greenway
22079,Fairfax,Lorton
22081,Fairfax,Merrifield
22082,Fairfax,Merrifield
22092,Fairfax,Herndon
22093,Loudoun,Ashburn
22095,Fairfax,Herndon
22096,Fairfax,Reston
22101,Fairfax,Mc Lean
22102,Fairfax,Mc Lean
22103,Fairfax,West Mclean
22106,Fairfax,Mc Lean
22107,Fairfax,Mc Lean
22108,Fairfax,Mc Lean
22109,Fairfax,Mc Lean
22116,Fairfax,Merrifield
22118,Fairfax,Merrifield
22119,Fairfax,Merrifield
22120,Fairfax,Merrifield
22121,Fairfax,Mount Vernon
22122,Fairfax,Newington
22124,Fairfax,Oakton
22125,Prince William,Occoquan
22134,Prince William,Quantico
22135,Stafford,Quantico
22150,Fairfax,Springfield
22151,Fairfax,Springfield
22152,Fairfax,Springfield
22153,Fairfax,Springfield
22156,Fairfax,Springfield
22158,Fairfax,Springfield
22159,Fairfax,Springfield
22160,Fairfax,Springfield
22161,Fairfax,Springfield
22172,Prince William,Triangle
22180,Fairfax,Vienna
22181,Fairfax,Vienna
22182,Fairfax,Vienna
22183,Fairfax,Vienna
22184,Fairfax,Vienna
22185,Fairfax,Vienna
22191,Prince William,Woodbridge
22192,Prince William,Woodbridge
22193,Prince William,Woodbridge
22194,Prince William,Woodbridge
22195,Prince William,Woodbridge
22199,Fairfax,Lorton
22201,Arlington,Arlington
22202,Arlington,Arlington
22203,Arlington,Arlington
22204,Arlington,Arlington
22205,Arlington,Arlington
22206,Arlington,Arlington
22207,Arlington,Arlington
22209,Arlington,Arlington
22210,Arlington,Arlington
22211,Arlington,Ft Myer
22212,Arlington,Arlington
22213,Arlington,Arlington
22214,Arlington,Arlington
22215,Arlington,Arlington
22216,Arlington,Arlington
22217,Arlington,Arlington
22218,Arlington,Arlington
22219,Arlington,Arlington
22222,Arlington,Arlington
22223,Arlington,Arlington
22225,Arlington,Arlington
22226,Arlington,Arlington
22227,Arlington,Arlington
22229,Arlington,Arlington
22230,Arlington,Arlington
22234,Arlington,Arlington
22240,Arlington,Arlington
22241,Arlington,Arlington
22242,Arlington,Arlington
22243,Arlington,Arlington
22244,Arlington,Arlington
22245,Arlington,Arlington
22246,Arlington,Arlington
22301,Alexandria city,Alexandria
22302,Alexandria city,Alexandria
22303,Fairfax,Alexandria
22304,Alexandria city,Alexandria
22305,Alexandria city,Alexandria
22306,Fairfax,Alexandria
22307,Fairfax,Alexandria
22308,Fairfax,Alexandria
22309,Fairfax,Alexandria
22310,Fairfax,Alexandria
22311,Alexandria city,Alexandria
22312,Fairfax,Alexandria
22313,Alexandria city,Alexandria
22314,Alexandria city,Alexandria
22315,Fairfax,Alexandria
22320,Alexandria city,Alexandria
22321,Fairfax,Alexandria
22331,Alexandria city,Alexandria
22332,Alexandria city,Alexandria
22333,Alexandria city,Alexandria
22334,Alexandria city,Alexandria
22336,Alexandria city,Alexandria
22401,Fredericksburg city,Fredericksburg
22402,Fredericksburg city,Fredericksburg
22403,Stafford,Fredericksburg
22404,Fredericksburg city,Fredericksburg
22405,Stafford,Fredericksburg
22406,Stafford,Fredericksburg
22407,Spotsylvania,Fredericksburg
22408,Spotsylvania,Fredericksburg
22412,Stafford,Fredericksburg
22427,Caroline,Bowling Green
22428,Caroline,Bowling Green
22430,Stafford,Brooke
22432,Northumberland,Burgess
22433,Orange,Burr Hill
22435,Northumberland,Callao
22436,Essex,Caret
22437,Essex,Center Cross
22438,Essex,Champlain
22442,Westmoreland,Coles Point
22443,Westmoreland,Colonial Beach
22446,Caroline,Corbin
22448,King George,Dahlgren
22451,King George,Dogue
22454,Essex,Dunnsville
22456,Northumberland,Edwardsville
22460,Richmond,Farnham
22463,Stafford,Garrisonville
22469,Westmoreland,Hague
22471,Stafford,Hartwood
22472,Richmond,Haynesville
22473,Northumberland,Heathsville
22476,Essex,Hustle
22480,Lancaster,Irvington
22481,King George,Jersey
22482,Lancaster,Kilmarnock
22485,King George,King George
22488,Westmoreland,Kinsale
22501,Caroline,Ladysmith
22503,Lancaster,Lancaster
22504,Essex,Laneview
22507,Lancaster,Lively
22508,Orange,Locust Grove
22509,Essex,Loretto
22511,Northumberland,Lottsburg
22513,Lancaster,Merry Point
22514,Caroline,Milford
22517,Lancaster,Mollusk
22520,Westmoreland,Montross
22523,Lancaster,Morattico
22524,Westmoreland,Mount Holly
22526,King George,Ninde
22528,Lancaster,Nuttsville
22529,Westmoreland,Oldhams
22530,Northumberland,Ophelia
22534,Spotsylvania,Partlow
22535,Caroline,Port Royal
22538,Caroline,Rappahannock Academy
22539,Northumberland,Reedville
22542,Orange,Rhoadesville
22544,King George,Rollins Fork
22545,Stafford,Ruby
22546,Caroline,Ruther Glen
22547,King George,Sealston
22548,Richmond,Sharps
22552,Caroline,Sparta
22553,Spotsylvania,Spotsylvania
22554,Stafford,Stafford
22555,Stafford,Stafford
22556,Stafford,Stafford
22558,Westmoreland,Stratford
22560,Essex,Tappahannock
22565,Spotsylvania,Thornburg
22567,Orange,Unionville
22570,Richmond,Village
22572,Richmond,Warsaw
22576,Lancaster,Weems
22577,Westmoreland,Sandy Point
22578,Lancaster,White Stone
22579,Northumberland,Wicomico Church
22580,Caroline,Woodford
22581,Westmoreland,Zacata
22601,Winchester city,Winchester
22602,Frederick,Winchester
22603,Frederick,Winchester
22604,Winchester city,Winchester
22610,Warren,Bentonville
22611,Clarke,Berryville
22620,Clarke,Boyce
22622,Frederick,Brucetown
22623,Rappahannock,Chester Gap
22624,Frederick,Clear Brook
22625,Frederick,Cross Junction
22626,Shenandoah,Fishers Hill
22627,Rappahannock,Flint Hill
22630,Warren,Front Royal
22637,Frederick,Gore
22638,Frederick,Winchester
22639,Fauquier,Hume
22640,Rappahannock,Huntly
22641,Shenandoah,Strasburg
22642,Warren,Linden
22643,Fauquier,Markham
22644,Shenandoah,Maurertown
22645,Frederick,Middletown
22646,Clarke,Millwood
22649,Warren,Middletown
22650,Page,Rileyville
22652,Shenandoah,Fort Valley
22654,Frederick,Star Tannery
22655,Frederick,Stephens city
22656,Frederick,Stephenson
22657,Shenandoah,Strasburg
22660,Shenandoah,Toms Brook
22663,Clarke,White Post
22664,Shenandoah,Woodstock
22701,Culpeper,Culpeper
22709,Madison,Aroda
22711,Madison,Banco
22712,Fauquier,Bealeton
22713,Culpeper,Boston
22714,Culpeper,Brandy Station
22715,Madison,Brightwood
22716,Rappahannock,Castleton
22718,Culpeper,Elkwood
22719,Madison,Etlan
22720,Fauquier,Goldvein
22721,Madison,Graves Mill
22722,Madison,Haywood
22723,Madison,Hood
22724,Culpeper,Jeffersonton
22725,Madison,Leon
22726,Culpeper,Lignum
22727,Madison,Madison
22728,Fauquier,Midland
22729,Culpeper,Mitchells
22730,Madison,Oakpark
22731,Madison,Pratts
22732,Madison,Radiant
22733,Culpeper,Rapidan
22734,Fauquier,Remington
22735,Madison,Reva
22736,Culpeper,Richardsville
22737,Culpeper,Rixeyville
22738,Madison,Rochelle
22739,Fauquier,Somerville
22740,Rappahannock,Sperryville
22741,Culpeper,Stevensburg
22742,Fauquier,Sumerduck
22743,Madison,Syria
22746,Culpeper,Viewtown
22747,Rappahannock,Washington
22748,Madison,Wolftown
22749,Rappahannock,Woodville
22801,Harrisonburg city,Harrisonburg
22802,Harrisonburg city,Harrisonburg
22803,Harrisonburg city,Harrisonburg
22807,Harrisonburg city,Harrisonburg
22810,Shenandoah,Basye
22811,Rockingham,Bergton
