,County,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
0,Accomack County,0.282,0.008,-0.094,0.481,-0.22,-0.282,-0.282,0.464,-0.282,2019
1,Albemarle County,0.112,0.0,-0.039,0.5820000000000001,-0.04,-0.112,-0.112,-0.112,-0.112,2019
2,Alleghany County,0.606,-0.202,-0.324,7.467,2.897,-0.606,-0.606,-0.606,-0.606,2019
3,Amelia County,0.281,-0.042,-0.102,0.8370000000000001,-0.211,-0.281,-0.281,-0.281,-0.281,2019
4,Amherst County,0.396,0.047,-0.165,0.698,-0.065,-0.14800000000000002,-0.396,-0.396,-0.396,2019
5,Appomattox County,0.277,-0.097,-0.199,1.523,-0.085,-0.277,-0.277,-0.277,-0.277,2019
6,Arlington County,0.05,-0.005,-0.021,0.341,0.01,-0.05,-0.05,-0.05,-0.05,2019
7,Augusta County,0.135,-0.024,-0.061,1.198,0.133,-0.135,-0.135,-0.135,-0.135,2019
8,Bath County,0.41,0.102,-0.252,3.161,-0.41,-0.41,-0.41,-0.41,-0.41,2019
9,Bedford County,0.218,0.003,-0.065,1.056,-0.079,-0.218,-0.218,-0.218,-0.218,2019
10,Bland County,0.207,-0.113,-0.097,1.754,6.315,-0.207,-0.207,-0.207,-0.207,2019
11,Botetourt County,0.177,-0.036000000000000004,-0.101,3.682,0.024,-0.177,-0.177,-0.177,-0.177,2019
12,Brunswick County,0.376,0.306,-0.078,0.05,-0.224,-0.376,-0.376,-0.376,-0.376,2019
13,Buchanan County,0.871,-0.28600000000000003,-0.465,11.24,9.735,-0.871,-0.871,-0.871,-0.871,2019
14,Buckingham County,0.251,0.095,-0.113,0.16399999999999998,-0.168,-0.251,-0.251,-0.251,-0.251,2019
15,Campbell County,0.281,0.028,-0.09,0.589,-0.11,-0.281,-0.281,-0.281,-0.281,2019
16,Caroline County,0.387,0.152,-0.08,0.184,-0.194,-0.387,-0.387,-0.387,-0.387,2019
17,Carroll County,0.35200000000000004,-0.073,-0.119,16.791,5.339,-0.35200000000000004,-0.35200000000000004,-0.35200000000000004,-0.35200000000000004,2019
18,Charles City County,0.172,0.145,-0.042,0.103,-0.172,-0.172,-0.172,-0.172,-0.172,2019
19,Charlotte County,0.421,-0.109,-0.106,0.792,-0.188,-0.421,-0.421,-0.421,-0.421,2019
20,Chesterfield County,0.179,0.026,-0.078,0.35600000000000004,-0.07400000000000001,-0.173,-0.179,-0.163,-0.165,2019
