,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
38,51,1,Virginia,Accomack County,2010,33148,16152,16996,11341,11496,4340,5049,105,92,87,106,28,24,251,229,11564,11709,4479,5178,215,185,125,138,34,28,14601,15726,9925,10349,4287,5003,53,43,82,101,21,15,233,215,10131,10548,4416,5122,153,129,118,132,26,19,1551,1270,1416,1147,53,46,52,49,5,5,7,9,18,14,1433,1161,63,56,62,56,7,6,8,9
57,51,1,Virginia,Accomack County,2011,33225,16225,17000,11348,11478,4390,5071,114,96,80,92,30,24,263,239,11596,11693,4531,5199,227,196,116,131,37,31,14589,15697,9868,10313,4329,5017,56,46,75,87,22,15,239,219,10093,10511,4458,5136,156,136,108,121,29,21,1636,1303,1480,1165,61,54,58,50,5,5,8,9,24,20,1503,1182,73,63,71,60,8,10,8,10
76,51,1,Virginia,Accomack County,2012,33268,16275,16993,11321,11463,4481,5073,109,96,82,103,31,25,251,233,11554,11671,4608,5204,219,197,119,133,37,34,14653,15698,9863,10324,4414,5004,53,44,77,98,23,16,223,212,10069,10514,4527,5125,150,134,110,122,29,25,1622,1295,1458,1139,67,69,56,52,5,5,8,9,28,21,1485,1157,81,79,69,63,9,11,8,9
95,51,1,Virginia,Accomack County,2013,32969,16092,16877,11171,11390,4431,5010,109,98,91,108,31,24,259,247,11408,11615,4569,5155,224,198,125,138,39,32,14509,15576,9753,10254,4362,4931,54,46,86,101,23,15,231,229,9964,10462,4490,5068,150,132,117,130,29,23,1583,1301,1418,1136,69,79,55,52,5,7,8,9,28,18,1444,1153,79,87,74,66,8,8,10,9
114,51,1,Virginia,Accomack County,2014,32971,16076,16895,11114,11409,4428,4989,108,96,112,125,29,24,285,252,11381,11633,4572,5135,222,197,157,164,38,32,14531,15591,9749,10275,4348,4906,56,45,107,118,23,15,248,232,9982,10480,4475,5041,150,136,148,155,31,22,1545,1304,1365,1134,80,83,52,51,5,7,6,9,37,20,1399,1153,97,94,72,61,9,9,7,10
133,51,1,Virginia,Accomack County,2015,32914,16021,16893,11044,11392,4422,4976,108,96,119,134,27,24,301,271,11316,11634,4584,5134,231,205,170,168,32,34,14454,15565,9667,10234,4334,4895,55,45,113,127,21,15,264,249,9905,10455,4478,5041,158,143,159,159,25,24,1567,1328,1377,1158,88,81,53,51,6,7,6,9,37,22,1411,1179,106,93,73,62,11,9,7,10
152,51,1,Virginia,Accomack County,2016,32871,15992,16879,11010,11372,4430,4978,109,99,114,139,27,25,302,266,11287,11612,4600,5136,224,209,163,172,35,30,14423,15546,9623,10213,4342,4890,53,47,109,132,21,16,275,248,9873,10438,4498,5039,153,147,158,162,29,21,1569,1333,1387,1159,88,88,56,52,5,7,6,9,27,18,1414,1174,102,97,71,62,5,10,6,9
171,51,1,Virginia,Accomack County,2017,32685,15920,16765,10900,11309,4460,4925,112,100,110,147,27,26,311,258,11175,11539,4631,5074,236,197,166,191,38,34,14341,15418,9511,10143,4367,4834,52,47,105,138,21,17,285,239,9762,10358,4526,4971,160,132,158,179,32,25,1579,1347,1389,1166,93,91,60,53,5,9,6,9,26,19,1413,1181,105,103,76,65,8,12,6,9
190,51,1,Virginia,Accomack County,2018,32581,15893,16688,10881,11276,4441,4877,120,106,111,149,27,25,313,255,11159,11510,4631,5033,245,202,153,182,37,33,14269,15342,9464,10110,4337,4792,54,51,106,139,21,16,287,234,9721,10327,4511,4936,164,138,146,169,31,23,1624,1346,1417,1166,104,85,66,55,5,10,6,9,26,21,1438,1183,120,97,81,64,7,13,6,10
209,51,1,Virginia,Accomack County,2019,32316,15728,16588,10703,11196,4455,4849,128,111,106,151,28,26,308,255,10978,11433,4630,5002,246,201,159,189,40,32,14123,15238,9320,10032,4345,4759,58,55,101,141,21,16,278,235,9567,10251,4508,4902,159,137,148,175,32,20,1605,1350,1383,1164,110,90,70,56,5,10,7,10,30,20,1411,1182,122,100,87,64,11,14,8,12
